URL_actual_Google,Clics_3m,Impresiones_3m,CTR,Posicion_media,Accion,Destino_canonico,Cambio,Destino_existe_en_V5_2,Prioridad_proteccion
https://pedrotennis.com/,27,448,6.03%,7.54,CONSERVAR,https://pedrotennis.com/,ninguno,SI,ALTA
https://pedrotennis.com/clases-de-tenis-polanco,5,28,17.86%,7.64,CONSERVAR,https://pedrotennis.com/clases-de-tenis-polanco,ninguno,SI,ALTA
https://pedrotennis.com/clases-de-tenis-atizapan,3,20,15%,5.0,CONSERVAR,https://pedrotennis.com/clases-de-tenis-atizapan,ninguno,SI,ALTA
https://pedrotennis.com/clases-de-tenis-atizapan.html,3,17,17.65%,4.82,301,https://pedrotennis.com/clases-de-tenis-atizapan,.html→limpia,SI,ALTA
http://www.pedrotennis.com/,2,3,66.67%,1.0,301,https://pedrotennis.com/,"HTTP→HTTPS, www→sin www",SI,ALTA
https://pedrotennis.com/clases-de-tenis-satelite,1,9,11.11%,9.44,CONSERVAR,https://pedrotennis.com/clases-de-tenis-satelite,ninguno,SI,ALTA
http://pedrotennis.com/,0,26,0%,33.42,301,https://pedrotennis.com/,HTTP→HTTPS,SI,ALTA
https://pedrotennis.com/clases-de-tenis-naucalpan.html,0,22,0%,12.86,301,https://pedrotennis.com/clases-de-tenis-naucalpan,.html→limpia,SI,ALTA
https://pedrotennis.com/clases-de-tenis-para-ninos,0,12,0%,46.42,CONSERVAR,https://pedrotennis.com/clases-de-tenis-para-ninos,ninguno,SI,MEDIA
https://www.pedrotennis.com/,0,8,0%,6.12,301,https://pedrotennis.com/,www→sin www,SI,MEDIA
https://pedrotennis.com/clases-de-tenis-naucalpan,0,8,0%,8.12,CONSERVAR,https://pedrotennis.com/clases-de-tenis-naucalpan,ninguno,SI,MEDIA
https://pedrotennis.com/clases-de-tenis-polanco.html,0,7,0%,10.86,301,https://pedrotennis.com/clases-de-tenis-polanco,.html→limpia,SI,MEDIA
https://pedrotennis.com/clases-de-tenis-satelite.html,0,6,0%,18.17,301,https://pedrotennis.com/clases-de-tenis-satelite,.html→limpia,SI,MEDIA
https://pedrotennis.com/clases-de-tenis-para-adultos,0,3,0%,19.67,CONSERVAR,https://pedrotennis.com/clases-de-tenis-para-adultos,ninguno,SI,BAJA
https://pedrotennis.com/clases-de-tenis-para-adultos.html,0,3,0%,19.67,301,https://pedrotennis.com/clases-de-tenis-para-adultos,.html→limpia,SI,BAJA
